StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Intro,"Age1 ",Age2cope,Class1,Class2cope,RaceEthnicity1,RaceEthnicity2cope,religion1,religion2cope,Disability1,Disability2cope,Neurodiversity1,Neurodiversity2cope,Gender1,Gender2cope,LGBTQIA+1,LGBTQIA+2cope,Pronouns1,Pronouns1_5_TEXT,Pronouns2experience,Pronouns3feel,"IdentityAffinity ","IdentityMore "
2024-01-21 11:10:46,2024-01-21 11:19:33,IP Address,100,527,True,2024-01-21 11:19:34,R_7338BDWlQDplcfE,anonymous,EN,"I agree, begin the research survey",20,,"I’d say I’m middle class and am grateful for the many opportunities given to me. My family is very huge on saving to where we only spend money on necessities. With the help of scholarships, education isn’t as difficult to pay off and we always look for free programs or opportunities to gain experience and do things we enjoy. ",,Hispanic/ Latinx,,,,,,"I have not yet been diagnosed but I have been asked and told many times that I may have adhd, however I do have social anxiety ","Masking and impersonating in the sense of matching their energy and speech patterns ",Non-Binary,"Many times before but I have learned to not really care what people think or perceive me as. ",,,"she/her/hers,they/them/theirs",,Usually positive but there were instances where many correct others with my pronouns and make it a greater deal than it needs to be. Hence why I’ve leaned to just not care as time went on,"Indifferent. Initially I felt good but now it doesn’t matter too much foto me personally but I do make sure to use proper pronouns for others ",,Every experience in an experience. We all live different lives and may have similar circumstances or situations but that should never undermine someone else’s experience or life
2024-01-21 13:16:05,2024-01-21 13:24:20,IP Address,100,495,True,2024-01-21 13:24:21,R_6rBdK2lNiWK0NZ5,anonymous,EN,"I agree, begin the research survey",19,,middle class - lower middle class,"i used to get patted down for drugs in middle school even though i've never done drugs in my life. I just let these things go, one thing that helped the most is gaining class consciousness through reading. ","Im Serbian, so white ","Once again, once you learn about class struggle all of these things like racism become benign and easily explainable. ","Orthodox Christian ","DONT COPE, BE PROUD",I am not,im not sure i am not disabled other than depression but that is not a disability to me,"not ",N/A,Im a man but i also use they/them pronouns,"these things mean nothing to me, I feel as if i transcend gender on a cosmic level rather than on a material plane of existence, people can say whatever they want.",,,"he/him/his,they/them/theirs,self-describe",ANY,"good, people cant say anything to me because they know i stand for what i know",its ok... i mean i dont share mine cause i just allow people to perceive me how they wish but we shouldnt discriminate those who feel the need to be perceived a certain way.,,"i love everyone so much i love that im typing this and that a living soul will read this, I LOVE YOU. "
2024-01-21 13:38:37,2024-01-21 13:42:00,IP Address,100,202,True,2024-01-21 13:42:00,R_5OqbFCjAOJzZZju,anonymous,EN,"I agree, begin the research survey",19,,"lower middle class/ middle class ","Appearance and behavior. ","Indian ",,,,,,,,"women ",,,,she/her/hers,,,,,
2024-01-21 13:42:14,2024-01-21 13:50:39,IP Address,100,505,True,2024-01-21 13:50:40,R_3oOUNt7JZrXWv7j,anonymous,EN,"I agree, begin the research survey",18,,Middle class,,"White ",,"Catholic ",,"Anxiety. And being on the spectrum ","I usually try to get alone to cope with my anxiety. I fall into my hobbies to cope with large emotions ","ADHD, possibly asd ","Bring alone and getting to enjoy shows or videos that bring me comfort ",Female,"Wearing baggy clothes or covering up, so no one looks at me too long ",,,she/her/hers,,"Pretty good ","I think it’s great, allows people to introduce the real selfs",,"For the most part I’m quiet and do things  by myself. My identity focuses on the others around me. I’d rather the group function better than focus on myself. I find it’s better to change how I act around others than deal with the awkward tension "
2024-01-21 15:49:40,2024-01-21 16:29:08,IP Address,100,2368,True,2024-01-21 16:29:09,R_5M6wa5SesQEOLYE,anonymous,EN,"I agree, begin the research survey",26,,middle class,"I hide my actual beliefs regarding politics and economics, and I adopt a mindset of a normal NPR listener (i.e. a liberal who believes the height of American greatness was when Obama was in office or is yet to be realized because Obama did not satiate their racial masochism). My actual beliefs are more in line with National-Bolsheviks, Falangist, or Monarchist/Military Junta.",White/mixed,"I get along with Pacific Islanders and South/East Asiatics if they're of a sufficient intellectual class as I have a grandparent who came from the Pacific. I don't normally code switch in regards to race, usually the class code-switching also covers race since minorities just chalk up my code-switched persona as just another useful racially-masochistic tool (i.e. post-Obama-era liberal).",Orthodox Christianity,"Orthodox Christianity is not as problematic as Western Christianity since it's not associated with soupers, colonial missionaries, or the Crusades. However, I have no problems on a personal level with Western Christians, even though their doctrine/dogma is erroneous. I get along with Muslims even though I do desire they see God as being personal and loving, because their usual stance is God is a master and there's no point in having to love God but just obey him no matter what (fairly tyrannical). I do not get along with Jews unless they're Karaites. Similarly, I do not get along with atheists, of which this is the default of the campus. So overall, I just avoid the topic/concept since it's like being in a foreign land. I don't form lasting relationships with atheists and non-Karaite Jews. Hindus are interesting, I'm very friendly with them, and they're more likely to be a friend than atheists or non-Karaite Jews, but I don't broach religion with them much.",I have hyper-sanity & hyper-awareness,Because of my hper-sanity and hyper-awareness I have to suppress my observations & opinions otherwise people usually become incensed at my critical views of reality/life.,Functionally schizophrenic / High-functioning autism,"I stay away from normies/born-Americans, they're usually too attached to the system/ their constructed reality, my observations are received as very offensive.",Male,"I don't need to cope with the fact that I'm male. The likewise can be said of the females I've interacted with (if they're mentally/physically healthy). Males & females are different, they'll experience different lives on average. If I'm hated for being male, it's usually by someone who wishes they could be male like me or accept the reality of life like I can.",,,"he/him/his,self-describe","Il Duce, Caudillo, Jefe, Comrade, Brother, Buddy, Boyo, fren, etc.","I don't share pronouns, I viciously satirize anyone who takes this seriously.","Foolish/infantilized/emasculated, it's unnecessary & reinforces the feminized neuroticism and delusion of the academic hugbox.",,"Identity is merely the self-declaration as to which clan/tribe one belongs. Some erroneously and delusionally declare identity with groups that ultimately hate/despise them. I pity such people, as it's like seeing an outcast groveling and begging for acceptance, such individuals lack the strength to forge their own tribe/clan or live as the hermits and sages of old. It's ultimately useful for when there is the prospect of coalition violence. I typically avoid talking about it unless it's to strengthen comradery with a fellow traveler or it's hitting the fan and you need to let the reaver know whether you're with the King or Parliament."
2024-01-21 17:39:41,2024-01-21 17:53:27,IP Address,100,825,True,2024-01-21 17:53:27,R_1dMiUcjk1KDz3gF,anonymous,EN,"I agree, begin the research survey",22,,Lower Middle Class + African American,"I definitely have to code switch and hide details about my life. I don't feel comfortable telling even my closets friends the entire truth. ",I am an African American,"I code-switch. I haven't experienced using a nick name to assimilate, but I have seen my colleagues & staff members/professors use nick names for some of my Black friends.  ",I am a Christian,"I haven't experienced religious discrimination.  ",I am not disabled,"I haven't experienced a form of ableism. ","I am not neurodivergent ","I have a brother who had ADHD & ODD. There have been times that I have seen my brother try to ""act normal"" because people have bullied him.",I am a female,I have experienced sexism. I definitely hide details about my life in fear of judgment.,,,she/her/hers,,I haven't had any problems.,I feel fine,,"I am a black woman, who comes from a poor background. Through a bit of luck and hard work, my family has been as high as high middle class, and as low as dirt poor. I know what it feels like to live in all of these situations; so as a college student with two jobs, I think that I bring alot to this conversation, and I think that this is a meaningful conversation :)"
2024-01-21 17:45:26,2024-01-21 18:31:08,IP Address,100,2742,True,2024-01-21 18:31:08,R_3CKg33w8zY64yJf,anonymous,EN,"I agree, begin the research survey",31,,Lower class,"In my youth I used to steal a lot to keep up appearances to have the things I couldn't afford. I stole clothes, cds, makeup and sometimes food. I stole from about 12-16, with it tapering out after 15 because I began to work. I think working helped build my confidence, helped me learn about money, and pride in my work. I still was without in someways, but I had enough and didn't feel that sense of difference as much. ",Mexican american,"I'm white presenting so I have the privilege racial ambiguity like other white people. I think that's why I got away with stealing so much as a kid. My mom is first generation, my dad is fourth, so english is my first language and I don't have an accent. I was not discriminated against growing up in the larger sense, but I was bullied for not really being a mexican in elementary.  ","I am spiritual. I was raised catholic, baptized, did my first communion but not confirmation. I used to do the rosary weekly with my nana, so when I'm in times of hardship I do still practice the rosary sometimes. ","I have not experienced religious discrimination ","There are a lot of mental health issues in my family, but mental health is an unaddressed issue. I have been diagnosed as depressed and almost diagnosed with other things but I think there is still fear and stigma deep down that I didn't want to carry that marker. My mom was diagnosed later in life with autism and bpd, and I have a brother who is autistic. ","I have just been told that it may be more beneficial to not have an official diagnosis but to still be aware of my behaviors and symptoms for myself as a diagnosis could impede one in the future. ","I think I am neurodivergent. I used to always describe myself as awkward, and in my early 20s I was much more reliant on substances to function in social settings. Sometimes I would say something and it was read as a joke, or sometimes I would say something and it could be read as mean, but I was just being honest and I didn't realize the larger impact of what I was saying until I was told. It's strange to me because I felt I've always been hyper aware of how to jump in to conversations, concentrating on a response, and trying to follow cues but it was stressful and felt like a lot of work. So when things were weird like the laughs or someone said something was mean I was surprised because I felt like I took great care in what I was saying, but sometimes I would just miss an element here and there. I've always been hypervigilant because my dad was more emotionally abusive, but I think that helped me in searching for clues in social settings, even if it gives me great anxiety. 
I don't rely on substances anymore, I don't go out to places If I don't feel like it. I build bumpers in my day so I can take care of myself and cope with schedule changes. I find comfort in my morning and evening routines and keep to myself but I found this has given me the least anxiety and less energy drain. 
As I try to recall symptoms I also find that I'm lessening them but I'll try to list them without talking myself out of them. Some things off the top of my head are movements, like moving my feet and hands. I carry my arms in a t rex way. I used to have to move my feet to fall asleep but now I only do it if I really need to. 
Sometimes I can listen to the same song all day, there is just something about an emersion of an experience that I really enjoy if I really love a song. I feel like I want to relive each part I focus on and if something interupts me I need to listen again. If I feel like I need to focus or I'm tired I turn off all sound and lower it rly low, for like directions, when driving. I don't like looking at people, it feels so invasive, or sometimes If I'm trying to be normal I can't tell if I'm doing it too much or at the wrong times. ","Drinking used to be an easy way to mask and blend in, but that wasn't sustainable, it made my anxiety worse in the end. ","I am a cis woman, and always felt a bit masc but it felt like a negative thing. I don't mind being neutral, or called they. ","I think when masking I would be overly bubbly or excited and people would read that as dumb. I think I would lean into femininity or stereotypes would lend itself to me, and I wasn't afraid to ask questions, so I think this would lead to the same effect. I just have a lot of explicit memories of trying to relate to people and them doubting the efficacy of my memory or knowledge. ",,,"she/her/hers,they/them/theirs",,"neutral, not anything explicit to me.","annoyed and nervous but neutral. I feel like it shouldn't be an issue as they is applicable to everyone. ",,"It's taken a long time to come into my own and not feel pushed out of a space that's rightfully mine. I don't feel threatened by having to prove myself anymore because I still grow every day in efforts that matter to me. I take time to learn spanish daily, I've studied mexican american history, and my own genealogy; I know why things are the way they are and I'm proud of the history that has me here living my own experience. 
Socially the same, I pursue my interests without others in mind, and even if I get a nagging feeling sometimes that maybe I'm being weird, I can cope and know that's not a measure of fulfillment I want to abide by. 
I used to feel like I wasn't enough in so many ways, but I know who I am and what I want, in the pursuit of those things I will always be enough.  "
2024-01-19 14:27:34,2024-01-22 01:25:10,IP Address,100,212256,True,2024-01-22 01:25:11,R_33fRpBDW7To9Wcl,anonymous,EN,"I agree, begin the research survey",22,,,,,,,,,,,,,,,,he/him/his,,,,,
2024-01-22 07:36:34,2024-01-22 07:45:31,IP Address,100,537,True,2024-01-22 07:45:32,R_1MduNGxOwuY4cmt,anonymous,EN,"I agree, begin the research survey",26,,"Middle class ",I have not experienced this,"White with Jewish ancestry ","I have not experienced this. I have not directly witnessed this but have attended protests for equity of all races/ethnicities. Otherwise, inaction can be a coping mechanism to witness discrimination. ","Agnostic ","I have not experienced or directly witnessed this. Inaction can be a coping mechanism to witnessing discrimination. ","I do not consider myself to be disabled. ","I have not experienced this. I have advocated for more ADA accessible features at my undergrad university, otherwise I will disclose mediations or diagnoses I have in hopes of making others more comfortable. ","I do not consider myself to be neurodivergent. ","I have not experienced or witnessed this myself. ",Female,"I withdraw or stay quite ",,,she/her/hers,,"MY pronouns are in all my electronic signatures and have introduced myself often with my pronouns. ",Fine - I feel more inclusive and happy when they are shared and others do so without making a fuss,,"Sometimes it's to hard to know if I have experienced discrimination related to my identity or if I have any coping skills because I tend to withdraw or even completely ignore uncomfortable situations so I do not retain a memory of them. "
2024-01-22 13:49:22,2024-01-22 13:57:52,IP Address,100,510,True,2024-01-22 13:57:53,R_3dmY8SdYWqTJqB5,anonymous,EN,"I agree, begin the research survey",36,,Lower Middle Class,Do not engage with those people that discriminate,White,"Avoiding that topic of discussion with people that are racist. or just generally, avoiding those people.",,,,,,,Male,,,,he/him/his,,,"I do not mind it. I believe it is important to be treated with respect, and in order to be respectful, you would want to address them by their proper pronoun.",,"There are people that judge on a single characteristic about another person's identity. Yet, if you were to ask someone to describe themself, they would list more than one characteristic. Identity is unique to that individual, and that individual only. We should be applauding identities and realize each identity may require a different way of understanding."
2024-01-23 09:42:10,2024-01-23 11:42:28,IP Address,100,7218,True,2024-01-23 11:42:29,R_7qyBCsjkc0aKXar,anonymous,EN,"I agree, begin the research survey",21,,Working class,"I had a peer in my high school who stated I was lucky to have my fees waived when applying to colleges (because I was on free/reduced lunch). I laughed it off and asked her: why do you think I have that? I must have been about 16 years old. Code switching helped since I did not want to tell people that I was on free and reduced, or even about my economic status. I felt like it they may perceive me as lesser than them or as if I had something that wasn't supposed to be given to me (ex. gov't aid).  ",Albanian-American,"Code-switching, hiding details about my religious orientation (grew up atheist due to Albania's atheism during the Socialist regime -- I was told to call myself Greek Orthodox if asked). I felt ashamed to bring my culture's food for lunch since many kids would ask ""what is that?"" -- so I asked to eat culturally-accepted American food (sandwiches, salads, etc.).","Atheist ","Not religious, but many would ask me about my religious orientation growing up, and I was taught to say Greek Orthodox even though my family did not grow up religious.",,,,,Cisgender woman,"Some coping mechanism have been withdrawing from the situation, or seeking out friends with a similar identity as me to share sexist experiences (usually has happened with cisgender men).",,,she/her/hers,,Felt accepted because of the cultural acceptance of cisgender women using she/her pronouns.,I feel fine about it and want it to be more culturally accepted. I do it to ensure that my peers are comfortable presenting their own gender identity and their pronouns.,,"Oftentimes, I have difficulty reconciling my ethnic culture and sexuality since American culture deems these as mutually exclusive. I am in therapy to actively combat the feelings I have about the wrongdoings of my culture, but it has made me who I am and this includes my sexuality as a queer woman. Most of the queer women I speak to usually subscribe to a more Western view of sexuality (living freely and unapologetically regardless of your family or culture's beliefs), which makes it difficult for them to understand the cultural impact on my personhood. This goes the other way as well, where those who are from my culture and ethnic background have a skewed view of queerness due to media sensationalism and extremist views from the culture as a reaction to globalism. They want to preserve their culture, and wrongly believe this is the way to do so. Thus, it is difficult to not feel shame when both parts of my identity seek to invalidate one another in some form."
2024-01-23 13:31:48,2024-01-23 17:26:05,IP Address,100,14056,True,2024-01-23 17:26:05,R_723EBHHb35SOwKY,anonymous,EN,"I agree, begin the research survey",20,,Middle Class,I have not experienced or witnessed classism in a serious manner in any social settings at school or work,Pakistani/South Asian,I am not sure if this is racism or ethnicity-based discrimination but I have experienced being singled-out by a hall-monitor in high school one time,Islam,I personally haven't experienced religious discrimination but know family members and friends that have,ADHD,Not experienced Ableism,ADHD,I have never experienced neurodivergent discrimination,Male,I personally have never experienced sexism in a serious manner at school or work but may have heard a few instances that involved a friend at school regarding school,,,he/him/his,,I have always used he/him as my pronouns,"I think it's a little excessive and unnecessary at times to HAVE to share pronouns but if need be, I could maybe understand in certain situations ",,"Identity is whoever YOU personally are. Nothing else but yourself defines who you are, don't let other people determine who you are/will be. Stay true to yourself and your beliefs and stand on them."
2024-01-23 17:14:25,2024-01-23 18:39:47,IP Address,100,5122,True,2024-01-23 18:39:48,R_614Pf2YKMShDzdH,anonymous,EN,"I agree, begin the research survey",27,,Grew up in lower class but became middle class when I was in middle school,"Some of my friends come from a wealthier background that me, and I often feel I cannot relate to them though I open the discussion and am curious how their childhood was like and I let them know what my childhood was like. If they are close to me we talk about it. If they are not close to me I don't give them much detail or talk about my economic background.",Asian,"My parents legally named me an American name, but at home I have a Vietnamese name. They did this so I can fit in school better. During COVID, when we had to wear masks, a woman approached me and she was screaming and blaming me for COVID, I just quickly evaded the situation and ignored her.",Buddhist,Buddhist is also seen as a philosophy so I feel like it didn't get as much of a bad wrap compared to other religions in America. I don't recall being discriminated against due to being Buddhist.,n/a,n/a,"undiagnosed dyslexia ","I failed second grade because I wasn't any good at reading. I never got diagnosed and don't see a point now since I've gone this far without dyslexia affecting me greatly. When I'm playing a board game that contains reading aloud, a lot of the times I stumble over words and some of my friends make fun of me. I just have to brush it off really. It does hurt my feelings and do they do I have dyslexia too, so it's really just teasing.",Female,n/a,,,she/her/hers,,"I've only really shared them in a professional or educational setting. I don't really remember others pronouns either, so a lot of the times I just refer back to their homepage and sometimes it's there or I ask them if I'm not sure.",I personally don't see the value of it for me since others assumptions of who I am gender wise is already accurate. Though I do see that it makes others feel more comfortable if their pronouns are non-traditional.,,nothing else
2024-01-24 08:28:33,2024-01-24 08:47:28,IP Address,100,1135,True,2024-01-24 08:47:29,R_1RVjiM66v8IiFgd,anonymous,EN,"I agree, begin the research survey",23,,I would say that I belong to the middle-class socioeconomic background. This hypothetical class usually has individuals with stable-income families that have a comfortable lifestyle.,I have not faced any prejudice or discrimination regarding economic status. I make sure to surround myself with people who are respectful and do not engage in such facades.,I would say my race is Asian - Indian and my ethnicity in Hindu.,"Again, I personally have not faced any racism. Once there was a person screaming racial slurs at a group of Indian people near me, I personally just ignored it because the person was intoxicated and engaging with them or being affected with that would just be a waste of my energy.",My religion is Hindu. I believe in a higher power and usually pray once a day.,I have not faced any discrimination regarding my religion.,I am not disabled,-,"I am not diagnosed with it, but I often feel like I have ADHD. Focusing on a task is really difficult for me. I my mind tends to wander to 100 different things at the same time. ",I have not faced any discrimination regarding Neurodivergence.,I describe myself as a Male,I have not experienced sexism.,,,he/him/his,,I have no problem with sharing my pronouns.,"I feel alright with sharing pronouns in a social setting. The only thing is I do not have a problem with what anyone believes because everyone has the right to believe what they want, but I personally feel like there are only 2 genders.",,"Embracing one's own identity is one of the most difficult parts of one's life. Many people spend a lifetime figuring out their identity. I would say in this time, the general negativity around social media and internet is causing a lot of young people to lose or change their identities based on what they see on there."
2024-01-24 22:52:25,2024-01-25 00:15:46,IP Address,100,5000,True,2024-01-25 00:15:47,R_1PuJ65RFXObFaBR,anonymous,EN,"I agree, begin the research survey",33,,"Middle Class. I am unemployed but I have a wealthy, familial support system. I live in a co-op unit owned by a family member and I do not need loans for school but I depend on state provided health insurance. I have more access to opportunities than most of my classmates because I am white and a citizen of the United States.","I have found that most of my classmates are also unemployed and depend on family for help. However, most of them are immigrants with visa-related restrictions so I think it's much harder for them to find work, whereas I am choosing to take unpaid career-related opportunities instead of working a job. I don't necessarily hide that from them but I won't talk about it unless they bring up the topic first.",I am white. My ancestors are from Russia and Lithuania but my family has been American for many generations. I am also Jewish but I don't identify with Israel.,"I stopped talking about being Jewish after the war started between Israel and Palestine and I haven't experienced or witnessed any racism or ethnicity-based discrimination that I'm aware of at school. At one of my previous jobs (DePaul's loop bookstore), we were open to the public and occasionally customers would come in and make racist comments about my coworkers. This happened more often to Lantinx employees than any others, but I also saw racism against my black co-workers. I would usually call security to the desk I worked at when it happened. The security guard wasn't allowed to kick anyone out but he would stand in a very noticeable way so the customer would know there was a guard watching them. Sometimes the customers would respond badly to it and make a scene. Then the guard was allowed to escort them out. Other times, the customers would just leave when they realized they were being watched. ","I am Jewish but I'm not religious. I consider it more of a culture/ethnicity (separate from Israeli, I don't identify with Israel). ","I've only experienced antisemitism once or twice in my life. When I was in culinary school (before DePaul), I heard phrases like ""you're kikin' me"" that meant cheating someone out of something. I also had one classmate from that school tell me that her husband worked at a Jewish day school and he told her that Jews were dirty. I told her I was Jewish and she quickly withdrew her statement and seemed very nervous/embarrassed.",I do not have a disability.,"I see ableism all the time in Chicago, but not so much in school environments. The worst I've seen was at a previous job where employees were required to stand for the full duration of their shift. They hired an older man who had arthritis and he brought in a doctor's note to inform them that he had a disability. The store director infamously told him that if he couldn't stand for the duration of his work shifts, they no longer had a job for him. He ended up quitting and I'm not sure if he sued them but my coworkers were talking about it for a long time after. It was very controversial. The only thing I could do in that situation was sympathize with him because I didn't have any managerial power.",I have anxiety but it isn't social.,"In the last job I had, the entire management team was angry with the owner of the business and they all quit at the same time without any warning. The owner promptly promoted four employees to be the new management team but they didn't know how to do anything to run the business so the following month was extremely hectic. One of the new managers was neurodivergent and tried to create more structured plans to move forward. The rest of the managers were in what they called ""emergency mode"" where immediate problems were too urgent to worry about the long term. They started shutting her out of their meetings and told her they didn't have time to catch her up on what was going on. Eventually, they fired her for some heavy allegations that turned out to be false. I believe they are currently facing a wrongful termination lawsuit. I quit shortly after she was fired because the instability was making my anxiety obvious in a way that I couldn't hide and they were becoming unkind to me in a similar way. I thought they might fire me too.",I am genderqueer/non-binary,"I am pronoun-agnostic but I hide that from my family. I also have a preferred name that my family knows about but they think it's a nickname and they don't use it. I think they know my gender but no one talks about it and I know that if I bring it up, it will go badly. One side of my family is extremely queerphobic and the other side doesn't get along with my mom who is also queerphobic so it's hard to be myself at family gatherings. I learned on thanksgiving that one of my cousins is transmasculine. He's still in high school and his immediate family won't use his pronouns so I secretly gave him my copy of Leslie Feinberg's ""Stone Butch Blues."" So far as I know, we're the only ones in the family who aren't cisgender and we conform to heteronormative culture when other family members are around.",,,self-describe,"I am pronoun-agnostic, which means I accept any pronouns.",I only started sharing my pronouns at a class here at DePaul during my undergrad a few years ago. Now I share them whenever I'm asked. I feel like it's safe to do so when my family isn't involved.,"I only bring it up when people ask, and people generally ask when they're trying to be supportive so I don't worry too much about phobia in those circumstances. But it's still hard when I don't know the people I'm coming out to because sometimes they want direction. When I say that any pronouns are fine, they are worried that they might say the wrong thing or offend me and they want me to choose. When that happens, I just say they/them because it's easier. I don't mind they/them so it doesn't feel like misgendering to me but it's an awkward and tense conversation.",,"I often find that I'm non-binary about a lot of things other than gender. I am non-binary in my economic values, for example, because I value some parts of capitalism and some parts of socialism but I am neither a capitalist nor a socialist. I wonder if thinking about parts of ideas instead of two opposing, whole ideas is itself an identity or way of being."
2024-01-25 16:07:46,2024-01-25 16:14:36,IP Address,100,409,True,2024-01-25 16:14:37,R_3KeFBw6tZ8enRNh,anonymous,EN,"I agree, begin the research survey",23,,Very good,"I have, I cope by not paying attention or overthinking","It's Indian ","I try to rationalize their behavior and then if I am not able to, I go into my own shell. I hide details as much as possible",Hindu,"I dont talk about religion in group settings, that helps to steer away from this sensitive topic.","I am not ","I have, I try to stand up for those who are mistreated. Because it hurts me to see someone being treated unfairly based on circumstances beyond their control",ADD,"My coping mechanism is to mask by being an over planner, and fighting through the things such as learning more about my specific condition and finding resolution with similar people ",Female,"I try my best to think that being a female is not a disadvantage but often society tells me otherwise. So then I go completely against what the society expects woman to be like, and prove to be the best in my career. Hopefully to shut them all up.",,,she/her/hers,,"Its good, but people consider it extra.",I find it really inclusive.,,"I agree identity is a mix of all things, ever since I was in my teens, this question of who am I played a big role, I would say my experience in deep meditation and vipassana (the practice of silence for 10 days) helped me understand who am I as a person, and my role. I feel I am all the good things I see in the society and also the bad, after all we are minute particles of the universe. "
2024-01-26 18:00:49,2024-01-26 18:22:48,IP Address,100,1319,True,2024-01-26 18:22:49,R_1CftYbYPq9I6ZrM,anonymous,EN,"I agree, begin the research survey",25,," Middle socioeconomic class","One that worked for me is showcasing my strengths and keep sensitive details to myself, not involving others.",Culturally diverse with deep history.,Showcase my strengths and not keeping other opinion is a good mechanisms to avoid these.,"Not that sentimental towards religious, but officially talking, my religion has deep culture and have a large diversity. ",I wouldn't take their opinion as serious as it doesn't concern me.,Limited towards few resourses,Showing strength to empower that disability and voice out for ourselves aloud,Constantly proving myself,Speak out and not being afraid of asking questions,Male,Showcasing my strengths,,,he/him/his,,"Way of proving our identity ","It getting over hyped. Using pronouns as a way in social media to showcas identity and make connections ",,Only hoping this doesn't get way too far and seperate people like how religion and caste did!
2024-01-27 11:23:13,2024-01-27 11:34:34,IP Address,100,680,True,2024-01-27 11:34:35,R_3v3dlsjwS5kUrPq,anonymous,EN,"I agree, begin the research survey",23,,"I come from a middle-class background, where my family had access to basic necessities such as housing, education, and healthcare. While we didn't face significant financial struggles, there were times when we needed to budget and prioritize expenses. I had the opportunity to pursue higher education, and overall, my family's socioeconomic status provided a stable foundation with access to certain privileges and opportunities.","In my experiences at work, I have encountered instances of classism where individuals are treated differently based on their economic background. To cope with these situations, I've found that a combination of code-switching and seeking support networks has been helpful. Code-switching allows me to navigate diverse social settings by adapting my language and behavior to align with the cultural expectations of the particular group. Additionally, connecting with individuals who share similar experiences has provided a sense of understanding and support. By participating in discussions and support groups focused on addressing classism, I've been able to both cope with the challenges and contribute to raising awareness about the impact of socioeconomic bias.",Asian (India),"In my experiences at work, I have encountered instances of racism and ethnicity-based discrimination, and coping with these situations has been challenging. One coping mechanism that I've found helpful is code-switching. Adapting my language and behavior to align with the cultural expectations of different social settings has allowed me to navigate these environments more comfortably. Additionally, building a support network has been crucial for emotional well-being. Connecting with individuals who share similar experiences provides a sense of understanding and solidarity. While I haven't personally used a nickname or assimilated to hide my cultural background, I understand that these are strategies some individuals employ to mitigate discrimination. Ultimately, education and advocacy are important aspects of addressing racism, and I strive to contribute to conversations that promote awareness and challenge prejudiced beliefs.","I am a Christian, and my faith is centered around the teachings of Jesus Christ. I believe in the Holy Trinity—God the Father, the Son (Jesus Christ), and the Holy Spirit. The Bible is our sacred text, guiding our beliefs, values, and moral principles. I participate in regular worship services, prayer, and engage in practices like reading scripture to deepen my spiritual connection. Communion and baptism are important sacraments in my faith, symbolizing the grace and sacrifice of Jesus. Being part of a Christian community is a significant aspect of my journey, providing support, fellowship, and opportunities for service. O","In my social and work settings, I strive to foster an environment of mutual respect and understanding for diverse beliefs. To avoid potential discrimination, I focus on education and open communication. I make an effort to share information about my religion in a positive and informative manner, aiming to dispel stereotypes and promote understanding.","I don't have a disability, and I navigate daily life without the challenges associated with physical, sensory, cognitive, or other types of disabilities. However, I am conscious of the importance of creating an inclusive and supportive environment for everyone, regardless of their abilities. ","I have faced instances of ableism in social settings, and navigating these situations has been a personal journey of resilience and self-empowerment. Building connections with others who share similar experiences has been a crucial source of support. Engaging in open conversations and mutual understanding has helped create a supportive community.","I navigate these neurodivergences by incorporating various coping mechanisms into my routine. For ADHD, strategies such as using organizational tools, breaking tasks into smaller steps, and establishing routines have been beneficial. Managing Social Anxiety involves mindfulness practices, controlled exposure to social situations, and seeking support when needed."," have encountered instances of neurodivergent discrimination in social settings, and coping with these situations has been a journey of self-discovery and resilience. One coping mechanism that I've found helpful is self-advocacy. Learning to assertively communicate my needs and educate others about neurodivergence has empowered me to navigate social environments more effectively.",Male,"While I haven't personally experienced sexism, I am acutely aware of its prevalence in various social and work settings. Witnessing instances of sexism has prompted me to become an advocate for gender equality. One coping mechanism I've found effective is active allyship. Supporting and amplifying the voices of those who have experienced sexism, as well as being an advocate for inclusive policies, helps contribute to a more equitable environment.",,,he/him/his,,I make it a practice to share my pronouns openly as a way to contribute to a more inclusive and respectful environment.,"it's important to recognize that individuals may have varying feelings about this practice. Some might feel empowered and affirmed by the opportunity to express their gender identity, while others may have mixed feelings or concerns about privacy. Respecting individual preferences regarding the sharing of pronouns is key to ensuring inclusivity.",,"The concept of identity is a multifaceted tapestry woven from various threads of experiences, beliefs, and cultural influences. It is both a source of empowerment and vulnerability, a dynamic interplay that shapes who we are. Acknowledging and embracing the diversity within our identities fosters a richer understanding of ourselves and others."
